State,Females,Males,Ages < 65,Ages 65-74,Ages 75+
1,791,975.0,293.0,245.0,1228
2,147,146.0,38.0,28.0,227
3,827,866.0,177.0,150.0,1366
4,565,712.0,184.0,187.0,906
5,6687,7909.0,1830.0,1303.0,11463
6,462,448.0,108.0,75.0,727
7,510,572.0,178.0,103.0,801
8,176,184.0,55.0,43.0,262
9,224,382.0,129.0,67.0,410
10,3227,3674.0,1056.0,637.0,5208
11,967,1183.0,354.0,277.0,1519
12,405,504.0,62.0,34.0,813
13,237,236.0,65.0,51.0,357
14,1730,2006.0,462.0,379.0,2895
15,894,1045.0,273.0,239.0,1427
16,432,555.0,128.0,82.0,777
17,463,532.0,133.0,114.0,748
18,663,882.0,318.0,234.0,993
19,560,700.0,218.0,156.0,886
20,212,234.0,64.0,43.0,339
21,1302,1717.0,358.0,234.0,2427
22,1013,1083.0,357.0,219.0,1520
23,1380,1618.0,522.0,411.0,2065
24,686,777.0,239.0,97.0,1127
25,729,985.0,500.0,308.0,906
26,901,1157.0,347.0,278.0,1433
27,191,174.0,52.0,36.0,277
28,292,335.0,82.0,54.0,491
29,483,536.0,131.0,113.0,775
30,218,262.0,79.0,67.0,334
31,1368,1537.0,338.0,291.0,2276
32,343,330.0,145.0,108.0,420
33,2090,2366.0,664.0,433.0,3359
34,1238,1425.0,511.0,404.0,1748
35,153,137.0,26.0,20.0,244
36,1281,1427.0,400.0,283.0,2025
37,639,844.0,184.0,218.0,1081
38,895,958.0,230.0,190.0,1433
39,1557,1757.0,496.0,339.0,2479
40,546,636.0,213.0,99.0,870
41,125,161.0,54.0,23.0,209
42,695,788.0,212.0,198.0,1073
43,115,148.0,32.0,28.0,203
44,812,1015.0,301.0,287.0,1239
45,2845,3417.0,814.0,605.0,4843
46,224,259.0,48.0,50.0,385
47,93,86.0,25.0,21.0,133
48,40,52.0,13.0,7.0,72
49,1234,1559.0,368.0,256.0,2169
50,1339,1321.0,292.0,280.0,2088
51,345,448.0,131.0,138.0,524
52,615,670.0,181.0,111.0,993
53,77,114.0,17.0,14.0,160
55,1,0.0,0.0,0.0,1
56,1,2.0,0.0,1.0,2
57,6,1.0,1.0,0.0,6
58,5,4.0,0.0,1.0,8
59,5,4.0,0.0,0.0,9
61,3,0.0,0.0,0.0,3
64,10,10.0,4.0,3.0,13
65,25,20.0,5.0,5.0,35
66,3,7.0,4.0,0.0,6
99,3,3.0,2.0,0.0,4
